stock,volume
MT,434407
MU,2130732
DSX,51511
AAMC,384
DSW,24723
MW,4990
MX,12347
TIBX,101689
LAKE,400
MY,69699
UUP,39348
TICC,8343
DTE,57597
DTD,3296
NC,107
NE,90434
DTF,6077
DTH,660
NG,243365
MDNT,333300
DTK,716
HWBK,142
ARNA,166773
WRLD,761
NI,48567
NJ,703
NL,2675
DTO,39618
NM,120433
DTN,5962
GTAT,360714
NP,3499
NQ,354561
NR,10668
NS,9231
DTT,2287
UVE,75458
DTV,204817
AROW,1467
UVG,2
NU,56100
LAND,1080
LANC,1458
NX,6035
DTZ,3000
NY,4
DUA,412
MUSA,8460
BURL,1600
UVT,226
DUC,1342
OB,2045
OC,29682
UVV,5830
DUG,1854
VOLC,17033
OI,42364
DUK,128896
UWC,215
AAON,2317
AAOI,705
NXTM,11221
UWM,45916
BKKLY,220
GTAA,1619
UWN,2201
DVA,354551
ULGX,1000
PB,10037
ARPI,31980
PF,22386
PG,353678
PH,31752
LAMR,10352
DVM,3408
BUSE,960
PL,14715
DVN,75738
PM,158169
WLCDF,100
KOLD,1138
DVR,19990
PQ,11151
NGVC,1859
AAPL,918546
PT,27313
DVY,94699
UXJ,1300
AAPH,29000
RCAP,601
BDSI,21012
UXI,3376
PX,50453
DWA,18770
ARQL,10386
SFEG,18000
SWFT,114762
MDSO,22598
VONE,3114
VONG,423
CUBE.PR.A,1384
DWM,3306
PEYUF,200
UYG,4217
DWX,20801
ARRY,77753
UYM,5020
VOLT,15974
GCAP,3541
DIISY,113
ARRS,67539
STBFY,132
DXB,1031
DXD,132532
RE,10720
KONA,1096
RF,386886
SWET,1000
RH,13344
DXJ,564712
DXM,954
MDRX,38368
RL,19876
RM,529
GCBC,36
UZA,376
RP,2799
KONG,13237
KOPN,2104
RS,8558
RT,7809
RTEC,2044
RY,25266
VOOV,1500
LARK,30
SA,15245
SB,40473
SD,828921
CWYCF,110
SE,65408
SF,12476
SH,73928
SI,32889
DYN,2328
SM,94701
SN,6332
SO,190345
ARSD,82
SP,817
SR,9
ST,17417
SU,123815
KOOL,5654
IIIN,1672
AASL,200
VONV,1574
ARTW,200
ARTX,72983
XDSL,2405996
TA,19822
TC,50658
TD,33014
TE,92059
ARTR,50000
TG,648
DZK,4808
UBSFY,1601
TI,5539
NUSMF,3400
TK,2270
SWHC,77178
VOOG,7301
TM,7185
ITMSF,26500
ARTH,10822
IIJI,400
ARTC,1488
TR,1911
TS,15824
TU,6422
TV,25417
TW,29087
LATF,6350200
KORU,635
TX,390
DZZ,56362
TY,1427
KORS,127988
TILE,17888
UA,27732
LATM,522
KORZ,85
HWKN,712
UG,651
ARUN,66471
GTHP,3050
UL,103986
ENBP,200
UN,104900
TILT,2221
ICLDW,27234
GCEI,50000
SWIR,88012
MDVN,29522
VB,76206
VC,36666
VE,10070
VG,31569
WASH,1063
CIOXY,292
IILG,4032
VO,31583
VR,74127
VT,42371
USCRW,28
VV,17097
MDYG,3542
TZOO,996
VZ,383398
PNCH,221439
WD,555
WF,210
AAVG,1000000
MDYV,1316
WG,2639
WH,402
ARWR,31194
DKAM,40000
ENDO,88450
ENDP,769156
WM,42322
RTIX,1485
WR,65988
WU,123698
WX,21201
MDXG,42734
WY,107373
SWKH,40
SWKS,231026
WACLY,46
GTIM,614
QQEW,12506
XL,40438
GTIP,22
VAC,6766
GTIV,12679
VAL,14384
VAR,21639
SFLY,8178
SFMI,69666
AAXJ,89871
VAW,8099
BNCIF,565
GTLS,21206
ENFR,400
TIPZ,322
VBF,2626
VBK,44803
AAWW,3460
ULST,5640
YY,116783
CYBK,50000
WAVX,2425
EAC,1091
WPPGY,3615
VBR,57520
EAB,684
TINY,10100
ZA,620
EAE,238
EAD,47210
ZF,4251
LAWS,1200
ZN,6182
RCII,10953
VCF,305
EAT,33436
ZU,7796
CYAN,1000
VCI,50268
ZX,3750
VCO,15
VCR,46977
EBF,2558
VCV,22850
CYCC,10765
NYCB,56873
SFOR,2070300
VOXX,9313
CYBX,4514
ULUR,1840
HZUVF,480
EBR,116815
VDC,29441
VDE,35021
EBS,25974
AUNFF,25750
ECA,124706
ULTA,822051
ENGA,360
CYNAF,28480
HUWHY,109
ECF,152
LAYN,2469
ULTI,9922
ECH,6849
PNFP,3591
RCKE,133510
RCKB,408
SFNC,1791
ECL,30590
ULTR,820
VEA,472640
WAYN,600
ECT,3545
CWGYF,4000
RCKY,2110
RBS.PR.L,232
RBS.PR.I,302
EDD,23563
VET,442
RBS.PR.P,750
EDC,590762
EDF,9057
RBS.PR.N,2357
EDE,11641
VEU,180759
RBS.PR.M,6404
TITN,14511
CHCR,12500
PNC.WS,3092
EDI,2714
RBS.PR.H,2468
RBS.PR.G,1866
CHCO,961
EDN,4710
RBS.PR.F,2
RBS.PR.E,1770
EDR,21626
VFC,156918
DKGR,1000
EDT,1300
CHCI,3300
EDS,2624
EDV,1524
EDU,33312
RBS.PR.T,6966
VFH,35607
RBS.PR.S,1330
EDZ,49855
RBS.PR.R,5
RBS.PR.Q,3055
VFL,1
SWSH,5123
EEA,501
EEB,3106
TISA,22894
CHDX,899
BEAV,330090
EEI,2061
BEAT,12634
VOYA,22078
SFPI,4000
EEM,9220471
TISI,1264
BEAM,28208
ENIP,51281
CHDN,586
EEQ,8749
EEP,23067
EES,4524
EET,1552
EEV,28962
VGI,2835
VGK,407196
SWRI,2000
VGM,21352
RCMT,4430
SWRF,20000
VGR,13155
EFA,1372524
VGT,39801
EFC,3442
EFF,53
EFG,26294
VGZ,33300
TIVO,109864
CHEV,2
EPGRQ,1500
OSGIQ,2264
EFM,110
EFO,2070
VHC,2522
EFR,21119
SFST,600
EFT,20823
RCPT,2146
EFV,32976
EFU,200
VHI,4436
EFX,6030
EFZ,180
CHEF,1050
BEBE,7112
KHOLY,522
CPTCQ,4001
SKHSY,242
VHT,25718
EGF,200
EGI,339
GLAXF,30
EGL,1634
EGO,365787
ASBB,600
EGN,18692
ASBC,25240
ANIMF,100
MEAS,2579
EGP,4592
VIA,1466
CHLKF,55
USCXW,28
BECN,5367
IIVI,8303
CHFN,381
EGT,200
VIG,153358
EGY,16198
RCON,2000
VIP,46422
CHFC,5818
SFRX,130500
VIS,32142
VIV,125894
EBR.B,14225
LSCC,7436
MEDL,1263
ABAX,4257
EHI,14981
TIXC,120
GAPWP,2
WSBF,31
LSCG,20
ABAT,8016
SFUN,32581
LBAS,1500
ASCC,13090
OIBR.C,1964
CHGS,1286
PEB.PR.B,203
QQQE,766
QQQC,1024
WSCE,1491774
DGEAF,473
CHGG,11867
WBAI,63828
EIA,2137
ENOC,23104
ENMD,9994
EIG,1820
CHC.WS,11500
EIM,21430
GTSO,50
EIO,165
ABBV,552428
NPSNY,23
LSBI,44
EIP,933
BEES,100
EIS,350
SWVI,35259
MEDA,500
WSFSL,300
EIV,4365
LSBK,200
VKI,21394
WSBC,5167
EIX,73221
LBAI,948
VKQ,10637
BNEFF,712
NCMGY,1954
ENPH,8474
ASEI,621
CHIX,46265
ASEA,2950
CHIQ,15747
ABCO,4539
EFLVF,1000
VLO,244324
ARFXF,12000
VLP,8215
ABCD,2000
ABCE,100
ABCB,303
VLU,2
CHIE,400
WBCO,722
VLT,3763
CHKE,40
PNNT,91338
QQQX,17200
VLY,51643
MEET,9829
HFWA,1623
ASFI,729
VMC,22723
CYLC,97743
MJGCF,6000
VMI,6923
VMM,1637
VMO,8301
ELB,1
ELA,1888
ELD,15862
WSFS,770
VMW,119866
ELJ,2025
CHLC,70
XVIX,400
ASGN,10057
KFN.PR,100
PNRA,5294
ELP,52516
ENRT,30000
ABEV,262351
TSYHY,52
ELS,34335
ELX,7472
NYMX,3200
CHKR,11901
ELY,21968
VNM,10477
CHKP,183004
SDSDF,1550
NYMT,32545
PNRG,8
VNO,27339
WSGI,28600
NHLD,3500
VNQ,710560
EMC,524650
ASFX,1652
VNR,23335
MEIP,1702
EMB,68391
EME,5257
ENSG,4042
EMD,8956
MEIL,800
EMF,23230
CHMG,612
CCOZY,273
ABGB,41
ASHR,25617
EMJ,1213
EML,400
SFXE,19192
EMO,10998
EMN,54996
NYLD,6825
CYNO,1067
FCNCB,50
VOD,467736
VOC,3334
EMR,90140
VOE,13370
CYNI,34588
ABFS,8438
PNQI,7689
EMZ,980
FCNCA,705
VOO,124920
MVIS,9102
CHLN,40
ENB,45114
VOT,9723
END,2643
WFC.PR.R,35200
ENH,8079
VOX,14223
GTXI,13982
ENG,1475
VPCOD,4405
IWDMD,3074
WFC.PR.N,6200
WFC.PR.O,1102
ENI,78791
ENL,1368
WFC.PR.P,2538
CYOU,4712
WFC.PR.Q,6148
ABHD,29951
WFC.PR.J,5326
WFC.PR.L,132
ENTR,15719
CHNA,100
ENR,12323
ENT,7034
ENS,8824
VPG,1083
ENV,3765
ENX,3226
VPER,1831101
ENZ,1105
ENY,718
VPFG,2221
VPL,71982
CHMT,34691
ASIA,10520
KUBTY,1124
CHMP,500
EOC,1240
PNTR,6777
VPU,14481
EOD,78946
EOG,78501
VPV,13408
CHMI,1300
EOI,17823
JMBA,3096
CYPW,124800
ENSL,200
UMAM,2250
CHOC,264
EOS,12560
UMAX,1000
EOT,4581
ENSV,2227
WSGP,2600
EOX,2994
ABR.PR.A,100
NYNY,1520
ENTA,4854
EPB,8665
CHNR,12769
EPD,82447
VQT,2245
SAN.PR.E,1408
UMBF,2428
SAN.PR.C,384
ENTG,8147
EPI,372359
EPL,13672
EPM,102
EPP,20507
VRA,16607
YHOO,678400
EPR,7127
LBIX,10000
BF.B,11038
BF.A,650
MVNR,1456
EPS,460
EPV,13050
EPU,4319
OKSB,681
VRS,185
VPHM,39144
CHOP,200
ABIO,11972
DNZOY,105
VRX,820980
ORSUF,23000
MEMP,64441
EQM,22793
EQL,619
VSB,127
EQS,14
EQR,78914
EQU,40628
EQT,37502
MELA,63711
VSH,9711
SHNZY,107
EQY,76593
LTS.PR.A,1
VSI,8810
MELI,19886
VSR,700
ERB,131981
ERA,2684
VSS,11440
ERC,39813
DKSC,10000
ERF,28134
QQXT,1621
ERH,4300
ERJ,40273
ENVI,16975
UMDD,4450
MYBUF,85
VTA,46298
ERS,44
VTG,9307
VTI,384085
ERX,24715
ERY,40047
ASML,55406
ASMI,1545
VTN,8151
MSADY,2570
ESC,21599
PCRFY,1965
MEOH,12425
VTR,94667
ESE,1658
ESD,13211
VTV,46913
ESI,9223
LFRGY,15
ESL,2921
ESS,43352
CYTX,37585
ESR,4899
ABMD,8646
PALAF,6382
MENB,300
VUG,59671
ESV,62253
CYTR,364111
VPIG,1000
ETB,9443
CYTK,2898
CHRW,76992
PALAY,2306
ETF,41
ETE,19930
NKG.PR.D,625
ETH,2231
ETG,11994
NKG.PR.E,6
MENT,28145
ETJ,25750
ASNA,285502
ETN,228041
ETM,567
CHRM,200
ETP,59429
ETO,6423
VVC,8570
ETR,80223
ETV,26020
ENZY,1882
VVI,160
ETX,2505
BRE.PR.D,1
ETW,26255
WBMD,3750
ETY,43939
NHTB,2000
NHTC,2425
LBND,75
VPLM,58240
VVR,81359
EUM,280326
CHSP,5954
EUO,108677
CHSO,250
ENTCF,31430
ASPW,55
ASPS,4900
SBMFF,200
VWO,2185328
BVSN,4850
LBMH,14800
EVC,38570
EVF,14021
SXCP,1498
PEGFF,2231
EVG,5724
EVJ,2003
ARWJF,1000
EVI,225
ENZL,552
EVK,200
CHTR,293997
EVN,4421
ENZN,72792
EVM,3019
SGBI,1075
CHTP,287536
EVO,3100
EVR,2575
EVT,19213
CEDTD,30
EVV,30468
VXF,34157
EVY,1183
EWA,264831
EWC,33577
EWD,40758
EWG,356416
BERY,5903
EWI,36016
BERX,1025
CHUY,3537
EWH,113744
VXX,903507
FRAK,3192
FRAN,13825
EWK,101283
EWJ,1078750
VXZ,6748
EWM,127353
SGEN,34304
EWL,70154
EWO,3269
EWN,28406
EWQ,33502
EWP,48968
EWS,78741
EWU,119354
EWT,313797
EWW,188003
EWV,19874
EWY,317873
EWX,2889
TIKRF,33
ASRV,346
EWZ,1009875
VYM,69921
EXA,252
EXD,15978
EXC,246901
EXE,200
NHUR,1
EXH,8681
EXG,77176
EXI,2217
EXL,3886
EXK,186562
BEST,50
EXP,15365
MERR,10000
SGDH,21000
EXR,22964
MERU,9315
EXT,1107
MYTAY,821
CHXF,602
SBMRY,714
FRCN,250832
LSTG,7295
ATLKY,106
GDEF,200
CHYR,1272
PEGRF,200
PMOIY,28
AKRRF,250
EZA,8842
METR,606
FRBK,1000
EZJ,490
ASTM,1378
ASTI,381861
EZM,6999
RDCM,14181
WLBPZ,400
CHXX,481
DOLHF,10000
ASTE,1395
ASTC,11192
EZU,134032
EZY,6
ABTL,8623
FRED,10281
FREE,747844
VPRT,5674
BCDRF,300
JMPB,175
GDGI,101400
WSTC,801
FABK,4610
LSTS,2600
LSTR,3379
WSTG,4240
QABA,5448
UMNG,1015000
LBSR,80439
TKRFF,2000
WSTL,20475
RDEN,1676
ROIAK,8007
MET.PR.B,3694
PEXNY,4605
MET.PR.A,1736
FRGI,5227
RDHL,2304
PODD,9274
QADA,3564
GUID,3819
QADB,400
ABWG,5014
WAC,22811
FRFS,52000
KPTI,12626
WAB,11882
WAG,198995
UMPQ,22653
OLBK,800
WAL,6341
GULF,1729
WAT,11264
SGMA,700
SGMO,68772
ASYS,963
WBC,3264
SGMS,3904
WBK,12468
FAB,3974
FAD,2
FAC,914
WBS,14585
FAF,27664
SGLB,184062
FAN,12694
FAM,9194
WCC,4652
FAS,122930
RDIV,200
DLBS,500
FAV,2000
WCG,7132
QRHC,1000
JBAXY,14200
NECAE,1115000
FAX,51211
GKNLY,1102
FAZ,308609
WCN,6215
FBC,3360
ZLCS,8654
FBG,2084
SGOC,990
POGS,500
GUNR,1342
FBP,9098
FBR,35915
SGOL,6948
WDC,98158
FBT,9271
OLED,74530
HGPI,10
MOG.A,2267
FBZ,6
WBXU,1500
WDR,17856
FCA,201
STRNY,600
FCF,9559
FCH,34209
FCG,25937
FCN,5074
WEA,1934
FCO,2280
WEC,61218
FCT,3254
FCS,17686
FCX,590013
SGNT,4047
HOCPY,23
WEN,3692539
FRMC,162803
RGARF,1000
WES,8882
DLGC,3500
FRME,1606
NICK,1181
FDD,9448
FDI,939
WEX,1016
FDM,1238
CICN,5
FDL,17084
FDO,44867
FDN,201292
FALC,810
FDP,2511
CICI,6000
WFD,426
FDS,21183
WFC,1064296
FDT,2442
KWIPF,500
FDX,183403
RDNT,2400
WFM,84465
WFT,107778
DBEXF,30
CZFC,600
FEI,7584
FEN,5336
BFAM,2018
FEM,4843
FEP,13690
WGA,100
CIDM,4300
FEO,1740
FET,4337
FES,3733
FEU,17269
FEX,4460
NICE,9620
FEZ,141066
WGL,6422
WGO,10742
MWAR,62
GURE,41982
FFA,10220
DLIA,11085
WGP,2720
FFC,11429
FFG,1144
ROICW,4938
SGLFF,1
CIEN,91493
GURU,66930
FFR,96
FANG,6221
WHF,97
WHG,314
OLIE,110461
SCPZF,1000
FGB,1668
WHR,23789
BWEN,18097
FGD,8454
GDOT,45184
FRC.PR.E,982
DLHC,50
XIDEQ,19898
DASTY,2193
CTZ.PR.A,200
WHX,13337
FRNK,47
WHZ,14328
FGL,6052
FGM,516
WIA,7810
FGP,9861
WFREF,500
ATAX,5702
HGSH,83750
DASTF,550
ROICU,97
ATAR,3400
CIFC,29
FRC.PR.D,1
WIN,327642
FRC.PR.C,337
FRC.PR.B,6854
WIP,16192
FRC.PR.A,1734
WIT,8357
BYDDF,1023
WIW,8745
XWES,555
RUSS,375
ATCH,4000
WIX,22575
ACAS,78360
ACAT,8537
FHN,29134
LCAV,244
AAUKY,2263
RUTH,45448
RBCAA,570
URPTF,1304
NIHD,193367
FHY,1670
BFDI,2000
ACAD,38497
FIF,2498
SGTB,250
FIG,26700
FII,19022
SGTN,120
BYDDY,500
FIO,142090
FIS,44590
ABGLF,100
FIX,8209
WTBA,1582
FIW,7530
PCRTF,200
RUSL,830
LTBR,9558
EONC,310
EOPN,1384
GRDLY,20
ACCU,331
WLB,1995
FJP,537
COCBF,1000
FARE,16300
ATEC,1727
ACCO,32339
ATEA,600
POPE,215
WLH,756
ACCL,5363
FARM,1484
WLL,76389
WLK,7599
FARO,7751
WLP,95664
WLT,379131
RDSH,3000000
FKO,2152
WMC,23102
WMB,148628
ACDU,435000
FHN.PR.A,251
DLLR,122103
FKU,1875
WMK,149
POOL,8138
KDDIY,7158
FLC,2775
OSHWQ,1000
WMT,747732
WMW,1548
ACFC,1100
IHLDY,128
FLM,4
FLL,1000
QASP,998590
FLO,25483
FLN,600
FATE,40995
FLS,42850
FLR,38747
SGYP,111194
WNC,11380
ACET,66314
FLT,343885
NILE,1353
FLY,25513
STAR.PR.G,1000
WNR,71886
ATNAF,300
FMD,629
FMC,36534
SGZA,3463
WNS,598
FMF,1328
DLNG,6401
WTER,96721
FMI,1423
LFDEF,2500
FMK,2
FMN,3869
ATHM,29293
ATHN,4538
FMO,8475
ATHL,5687
FMS,6968
FMX,7819
WTFC,8183
CZNC,1751
MWIV,1784
ACFN,10084
BELLY,260
BFIN,88
CLNY.PR.A,300
FNB,18865
WOR,5947
FAST,130454
FNF,177138
FNI,535
CINF,17930
FNK,2012
ACHC,3044
SCBFF,884
POST,12072
NIMU,15000
FNP,28645
WPC,6220
FNV,52529
FNY,218
FNX,1830
BWLD,6959
CIMT,35657
WTII,1750
NINE,3400
WPP,14028
POTG,16353
ACGL,14802
WPT,303
ACGI,500
WPS,1403
FOF,4622
ATHX,240512
FOE,16792
WPX,154804
DLPH,48697
WPZ,15862
UNAM,805
LPRIQ,50000
FOR,2714
AXS.PR.C,616
AXS.PR.D,2278
POSC,30
RDWR,16311
FOX,142866
GDXJ,121589
AMIEQ,8
STL.PR.A,200
FPA,3080
ACHN,64287
LTHU,114924
FAUS,206
FPE,8074
FPF,3808
MFLX,642
FPO,3841
WRB,3868
FPP,300
WRD,1241
FPT,5048
WRE,25306
TRYIY,10
ACIW,4122
WCIC,313
WRI,20490
FPX,20179
WRN,1688
BFLS,100
DLTA,1000
ACIM,1232
STTYF,200
WHITF,950
ATLS,15101
ATLO,737
CFR.PR.A,100
IKAN,9700
WSH,24735
WSM,210663
WSO,3161
ATLC,436
FRA,15456
FRC,22475
WSR,11938
YINN,19389
WST,4625
FRD,400
FRF,4421
FRI,4
FRM,10057
FRO,215177
FRN,3886
ZLTQ,20854
FRP,11050
FRS,12
FRT,10533
ATML,223695
FRX,54767
WTI,19759
ATMI,3540
WTM,515
WTR,30126
FSD,8282
WTT,117
FSC,82621
WTS,2832
APAJF,1254
WTW,53011
FSI,100
FSL,19158
LTNC,53557
SYBT,1835
ATNY,1522
YIPI,2500
FSM,14540
FSP,9807
CISG,13580
FST,99352
DLTR,659745
BELFB,967
FSS,10512
SYAI,5333
MFNC,60
FSZ,244
ATNM,245
ATNI,654
POWL,444
FTA,3024
POWI,7851
FTC,2240
FTD,1628
ACLS,70214
BFOR,7410
FTF,12348
POWT,1000
FTI,26850
UNFI,10149
FTK,20444
POWR,1326
ACNI,570
FTR,12444516
FTT,2223
LCNB,535
ATOS,15225
FTY,1202
FUD,420
POZN,63359
ACMP,3801
HYEM,6174
FUL,1494
UMH.PR.A,100
FUN,16229
SSAAY,20
FUR,2187
WWE,16228
WWD,9861
FVE,11613
FVD,12172
WWW,65540
FVI,150
SHBI,4500
FVL,1860
DLYT,12250
MFSF,600
CZWI,600
LTRE,200
SHEN,3681
ACOR,6731
SNV.PR.C,561
FWM,16735
MFST,4900
HYGS,6779
RVBD,47849
HEINY,3800
IKGH,2500
COSWF,1475
FWV,4
UNIS,21880
SPHRY,14
JGCCY,1528
ATRS,232812
WYN,166122
ATRO,2013
FXA,5276
MFRM,11682
ATRM,601
FXC,3110
SYEV,20698
LTPZ,262
FXB,2434
FXE,23114
FXD,4415
REAC,2200100
MFRI,30544
ATRI,86
FXG,8201
FXF,5344
FXI,1238303
WYY,39438
ACPW,8390
FXH,16902
ATRC,1513
FXL,18420
FXO,8012
FXN,1542
FXP,34227
FXS,20
FXR,10332
VLKPY,1848
FXU,33889
FSBW,1445
FXY,34976
FXZ,1757
ACRE,2155
DRETF,2067
EYUBY,100
REDG,45350
FYC,1132
REDF,2000
HYII,3928879
LTTC,10000
ATSG,2094
CVXHF,1000
QBAK,40
WTSL,34479
FYT,3187
FYX,2022
APAGF,339
MFTH,1000000
ATTU,55698
ACRX,46412
FSBK,160
RECN,26269
JNMB,2
GEFI,600
EPAX,4209
LTUM,2100
EPAY,3690
LGL.WS,2500
RVGD,47
ACTG,5919
NZTCY,24054
ACTC,1000649
USB.PR.H,1925
REFG,7502
REFR,35441
USB.PR.N,1820
SHIP,300
USB.PR.O,201
USB.PR.M,569
ACUR,17168
REED,11357
EPAM,3039
ATVI,369627
GLCNF,600
ACTS,812
NEWEN,353
HYMB,1658
WCUI,10700
FSGI,309
RNR.PR.C,52
LTXC,9418
RNR.PR.E,400
OMAB,1913
SYMC,253284
UNQT,900000
PPBI,68
JNPR,201748
SYKE,1911
ACWI,89942
AKBTY,7857
HYLD,14074
PPBV,31000
BRRAY,190
REGI,15986
LCUT,1610
FSFR,108
SYLD,14511
XAA,1
HYLS,650
TKMR,995
REGN,35984
SYNM,10762
ZFSVF,52
SYNL,1226
FSNMQ,1
XAR,2848
ACXM,13415
SYNT,2284
SHMN,25000
BMSPF,10000
NBG.PR.A,1301
ACWX,6242
XBI,14205
SSREY,400
ACWV,3351
GAB,67443
VNRAP,400
VGMNF,561
DDMGQ,641
SHLD,769909
GAF,570
GAI,202
MMTIF,30243
SHLM,8278
GAM,2592
GAL,452
ACYD,642635
SYMX,13200
GAS,18982
SZEVY,202
REIS,1526
SYNC,7560
SYNA,125257
SHLO,6286
GAZ,5260
XCO,70654
EPHE,35984
GBF,255
FBIZ,1600
SYPR,5000
GBL,931
SHOO,10821
RELL,546
GREEF,85090
GBR,775
OMED,3815
RELV,604
GBX,11960
SHOR,96912
SHOS,2076
OMCL,11388
ECTYQ,409
BMBLY,1
QSII,7358
GCA,20961
GCC,3552
FBHS,34121
RVLT,73867
GCI,54617
OMCM,30000
GCH,814
UNTD,3029
EPGL,20000
GCO,10417
JNUG,29160
CSNVY,1
UNTK,50
XEC,45337
GCV,1499
XEL,77040
GENT,29352
XES,8232
GDF,4056
RENG,2000
EANRF,6000
GDL,2372
GDP,65080
HYSR,461884
GDO,4688
RENN,50673
GDV,4599
GDX,3143349
PPJE,286000
RENT,302
PPHM,79283
GEB,3479
GEMS,34
GEF,2001
SHPG,22744
GEH,575
GEK,6521
OMER,5859
GEL,5456
GEO,31338
SHPR,1267
FSLR,245115
GENC,1000
GEQ,3517
EPIQ,770
OMEX,37411
GES,25014
GENE,1720
REMX,1148
REMY,75
GEX,936
SYRG,1656
SPIHF,200
NJCB,800
FBMS,505
GFA,120985
GFF,9652
CJES,8394
GFI,327476
GFN,800
FBNC,606
XHB,220403
XHE,841
CHSP.PR.A,394
FBNK,5793
GFY,448
MGCD,200
XHS,360
MGAM,12849
GEOS,1948
GGB,281552
GGE,2187
GGG,6595
PRE.PR.D,608
UNXL,164689
PRE.PR.F,379
TCO.PR.J,1093
SHASF,2500
GGM,121
FSNN,5000
BGCP,27935
PRE.PR.E,1870
TCO.PR.K,712
GGN,53528
GGP,162649
GGS,17499
HHSE,9500
GGT,12378
FBMI,800
XIN,22900
BGCA,336
PPMT,2500
GHC,584
XIV,365829
FSNUY,27
ADAT,8063
GHI,14015
GHL,3171
GHM,178
WDAS,172200
GHY,8682
MGEE,1456
GIB,31044
SYUT,18946
TETAA,88
GIG,13790
GII,928
GIM,127231
FSPM,29609
GIL,7501
AUDC,23290
PPLT,7255
WBS.PR.E,317
GIS,106272
RVSB,54
WUBA,25275
SHALF,2500
GERJ,18
ADBE,436454
GERN,130794
DNIYY,160
GERS,30970
BCEKF,1000
VTSYF,400
HHWW,29
BGFV,3197
FBRC,1739
RETL,1078
XLB,501687
XLE,471922
GJT,2900
XLG,2255
XLF,1016265
XLI,481017
XLK,393233
ARH.PR.C,1236
FSTA,13347
XLP,424691
XLS,30291
DMND,12391
XLU,606305
XLV,1752971
XLY,263716
GMXAY,100
EPOL,5909
GKM,202
WDAY,123653
DMLP,1169
EPOR,5600
RESI,6658
ORFLY,100
FSRV,2295
GETG,1000
ISMAY,51
XME,62134
GLD,462412
CJJD,5400
GLF,1309
VABB,207
GLL,10016
EPRO,132
XXII,13459
GLP,388
REVO,217857
GLO,10864
GLQ,2326
GLT,4851
ADES,1820
KABX,1073750
GULTU,2150
GLV,2546
MGIC,2430
ADEP,52402
GLW,285859
TRC.WS,7
GME,386650
GMF,1587
FPTOF,20000
GMK,1169
AAGIY,688
WDDD,2010
GMM,293
GML,822
GMO,42450
GEVA,1553
FSTR,659
CYRBY,4377
MXIM,130314
ADFS,800
GMT,4039
XXIA,22648
GMZ,12100
GEVO,53268
XON,14290
XOM,526664
XOP,278496
FBSS,398
GNC,23419
GNE,3360
ADHD,24001
REXI,2557
GNI,4553
GNK,98581
KADR,20000
GNR,3682
REXR,334
GNT,17862
XPH,5252
GNW,169200
DVSPF,200
TPRFF,200
REXX,13378
KRFT,138310
XPO,32382
XPP,5651
DMRC,1378
GOF,992
DRGDF,5782
WDFC,3081
DMPI,2100
BXMT,20514
GOM,533
GOL,104871
KRED,46175
GOV,11489
SALDF,3525
PPSI,200
JOBS,2519
GPC,14058
MTB.PR.A,100
CPXGF,1
GPI,2505
WTKWY,264
GPL,140818
BGMD,70868
GPK,164524
GPN,21831
GPM,11211
FSYS,11719
XRA,15626
GPT,11137
GPS,1908765
GPX,1536
JOES,10000
XRM,4793
JOEZ,36865
XRS,15882
XRT,220455
XRX,392722
RPAI.PR.A,1
XSD,2340
NORSB,700
GRA,112545
MGLN,4940
GRC,677
XSW,1330
DMSI,10000
GRI,1406
MGNX,1261
GRO,340
GRR,930
GRT,22856
GRU,600
AUMN,24104
GRX,530
XTN,845
GSC,400
GSB,700
GSE,2830
GSG,72978
BGNN,101
GSF,5311
GSI,1210
SIAF,63162
GSH,2331
MGON,70000
GSK,131135
LUNA,7430
GSJ,3104
GSM,5207
GSL,737
ADMD,5000
MMRSF,10000
GSP,400
GSS,212095
GST,99927
XUE,14643
CDUAF,100
GSV,3201
GSY,478
OMTK,4450
LULU,140761
ADLS,1
GTE,23491
GTI,19358
GTN,44860
GTT,503
ADNC,3956
GTS,716
GTU,5417
GTY,477
QPTFF,1000
GUA,45
ADMP,6959
MXSG,63000
AUNZ,36
HIBB,1700
ILED,10000
KYN.PR.F,1000
KYN.PR.G,6
GUR,3227
SIAL,43083
GUT,1903
KYN.PR.E,216
YAHOY,75
SIBC,200
GVA,5618
MGPI,156
GVI,8186
EPZM,8745
GVP,500
GVT,1122
CRMBW,2000
VALE,2375052
KRNY,59
KAMN,895
RHWKF,10000
VALU,39
VRNG,70712
GWL,2261
GWBU,200
GWR,16744
GWW,8088
GWX,29680
XYL,39407
MILL.PR.C,1400
MGRC,2927
GXC,13844
VRML,1580
GXF,5345
GXG,700
TLGN,74
KALU,2077
GXP,50973
LDOS,26975
ADRE,6863
FEEDQ,965
FCAN,2659
ADRD,1219
FCAP,30
ADRA,2
LDRH,10995
XGTI,1539
SIFY,2900
SIGA,3152
AUSE,58
SIGM,14395
SIGI,1411
FCBC,2377
JONE,3222
GFED,400
FTCS,1618
REMYF,200
ADSK,222920
HEI.A,1956
VRNT,18253
HIFS,368
ADRU,2620
SIFI,601
GZT,400
ADTM,5500
ADTN,6031
VAPR,26825
HIIQ,1141
FCCN,1500
FCCO,600
HIIT,32100
FTEC,17313
FCCY,200
FTEK,43021
QCCO,1000
TLLP,4126
LUVE,14038
IOPDQ,500
MXWL,17405
HIHO,270
IPSEY,4179
