stock,volume
BRO,30127
STB,18464
CERN,56812
BRP,17716
BRS,2546
STC,1307
NVSL,600
BRT,101
STE,5499
STJ,136480
STI,119079
BRX,12528
CERE,11000
STL,1691
CVST,1000
STK,5412
SUBK,647
STN,4702
STM,106127
STO,38854
STR,8974
BSPM,4700
STT,72565
BSD,4192
STS,146
STV,5000
BSE,1891
STX,244865
BGMZF,2000
STZ,51079
BSL,13659
CVSC,1850
CEQP,9514
BSP,693
PSA.PR.X,1202
SUB,1028
MSON,7418
PSA.PR.T,851
BSV,80289
PSA.PR.U,2233
PSA.PR.V,2918
SUI,5061
BSX,739951
PSA.PR.W,566
PSA.PR.P,113
PSA.PR.Q,836
PSA.PR.R,1360
PSA.PR.S,1645
APNT,12000
XSNX,10000
BSQR,2744
BTA,13293
PSA.PR.O,403
SUP,2532
HUBG,2940
BTE,5712
BTG,141312
BTF,1
BTI,8037
BBOX,3093
CVTI,400
BTH,7524
PKWY,3000
BTO,6222
CERS,41954
BTN,1295
SVA,2130
CERP,30000
KPCPY,910
BTU,343943
NETC,2188
BTT,3935
TXGE,14100
BTX,12681
BTZ,11284
WPNV,1000
SVM,60670
NETE,5390
BSRR,454
BUD,174294
ARCAY,92
GRBG,30
APOL,83620
SVU,123435
GRT.PR.I,1
GRT.PR.H,297
OBTLY,125
BUI,2894
APOG,3504
IRET.PR.B,2
EXMRF,100
BSRC,85
SWC,89877
NVTL,3921
SWI,42547
XBOR,73
SWK,20868
APPY,7502
SWJ,10370
APPZ,5350
SWM,10359
LPNT,6611
NESI,200
BBRG,123
SWN,73645
BVA,4200
XSPY,4900
BBRC,1492
SWS,1604
SWY,115329
YESD,4000
SWX,3833
DRAGF,500
SWZ,8300
CETV,66465
BVN,120375
GRAS,200000
APPA,33985
SXC,15870
MSTR,1373
SXE,101
BVX,650
SXI,138
SXL,26958
BBSI,1875
BWA,42475
CEVE,70
SXT,12035
MSTX,92929
BWC,44486
CEVA,801
BWG,12726
BBRY,5662943
BWP,30826
SYA,1929
BWS,84448
BSTC,2108
BWV,22700
TYG.PR.B,1003
BWX,49277
APSA,880
BWZ,6411
SYK,39685
SYN,17252
BXC,1501
BXE,700
MBRG,24
SYT,14202
SYY,1537658
TGGI,485000
SYX,535
APRI,33420
GABC,238
BXP,30722
BXS,16977
SZC,1268
KMPR,1703
SZO,980
GCVRZ,475551
BYD,41228
BYI,27049
JTEKY,8
BYM,23789
MSWM,2555
GRFS,15743
LPTH,1200
LPTN,600
MBTF,2727
PTAXF,2764
NEWL,36460
GACR,19850
BZC,100
CCLAY,9
BZF,8522
APTS,6700
NEWT,6400
LPSB,600
GREK,26602
XBTC,600
BZH,48861
HKXCY,911
WPRT,39667
NEWP,8196
BBVA,200634
BZM,3
NEWS,1246
BZQ,21359
APTL,1
HDGE,4698
LPSN,34784
BZT,100
TOLWF,1500
MBWM,604
TGLP,300
GAGA,599
PLBC,39
SDIV,26922
SDIR,3557
BLLAF,33598
MBVA,13
APWC,540
IGLD,1724
MBVT,3806
PLAB,6113
TXMD,12651
RRGB,1684
ELAY,8563079
ALL.PR.C,431
ALL.PR.D,9200
PLCM,15812
ABW.PR.B,182
ALL.PR.A,227
BDN.PR.E,55
ALL.PR.B,1179
GAIA,1336
UBP.PR.F,600
THYCY,600
GAIN,17552
PUK.PR,1200
GRID,4
GRIF,13
AQPVF,650
NINOY,5
TAC,7431
PLCE,31745
TAI,1475
TAL,26989
SUNS,47
TAN,28125
TAM,1582
TAP,41570
TAO,1843
GWPRF,1695
TAT,12650
TAS,11894
TAX,605
OIBR,650925
NPSKY,719
GRLT,2688
HDNG,2171
TBF,155383
TBI,3054
TXRH,14694
SUMR,200
CWBK,200
CAC,208
CAB,8744
CAE,1507
TBT,192845
IGOV,8211
CAG,43871
CAF,10813
CAH,77895
TBX,2268
CAK,1010
FOHL,2799
CAJ,19196
TBZ,200
CAM,97199
JJSF,725
TCB,16660
CAP,1159
SDLP,4827
CAS,2567
RAIL,1474
CAR,96487
TCC,500
CAT,326722
WRCDF,617
TCI,23
TCK,93081
SUNE,322653
TCP,1273
RRMS,2379
TCO,13886
CBB,414322
GALT,5600
CBA,9855
GRNH,957118
CBD,11938
SUTNY,3342
TCS,28373
CBF,1138
SUPN,15492
TCX,14418
GRNL,999
CBG,46342
ROHCY,128
AHEXY,591
CBI,35110
CBL,67800
CBK,17237
SUPX,646
SDOG,10260
CBM,5202
TDA,1501
TDC,693172
CBR,3416
GAME,47470
TDE,500
CBT,3683
CBS,92615
TDG,292599
TGRO,176970
TDF,31996
CBU,3680
TDI,54
UNCFF,2080
TDH,182
RALY,1675
CBZ,5058
GAMN,250
TDJ,1022
GGRGF,4506
HURC,616
GAMR,400
SDOW,75400
TDN,2739
CCA,316
GRMC,2500
CCC,2772
TDS,10933
BTAL,237
CCE,48582
CCG,16560
TDW,9141
TDV,74
CCF,230
TDY,2591
CCI,746826
DIDG,9847
CCH,137
CCK,19998
CCJ,47546
CCM,223
GRMN,234468
CCL,191541
CCO,7365
NWBO,31468
GALE,438347
CFBK,500
NWBI,15364
CCU,10640
TEF,99818
CCV,425
TEG,17302
ELGX,12062
TEI,23509
CCX,3732
TEL,48997
TEN,19569
TEP,603
CWCO,6920
TEO,16710
GDFZY,3087
TER,77158
GRPH,2064
RAND,27
CDE,83234
TEU,10728
IVPAF,1060
DLAKY,7881
TEX,47814
DIGI,9840
CWEI,1327
GRPN,1132196
CDI,3266
CDR,6195
TGTX,6646
PUTKY,64
MTBR,133200
TFI,17966
CDW,3515
SUSP,100
TFM,26023
CEA,800
CEC,327
FOLD,13218
CEB,3009
CEE,530
CEF,79035
NFBK,2283
TXTR,12067
TFX,3556
IPL.PR.D,118
GRPEF,2000
CEM,13033
CEL,9372
HURN,905
CEO,5553
CEN,1201
BCAR,1030
IGTE,12988
TGB,58694
TGA,13218
CEP,236
IXUS,27970
BCAP,1010000
SURG,2508
TGD,25502
TGC,4051
GROW,403
TGE,69
CET,3889
TGH,15887
CEW,1135
CEV,3317
FPAFY,1587
GANK,2500
TGI,6437
HUSA,1418
TGP,12142
RYCEY,966
HUSE,300
TGR,2208
VALE.P,426551
TGT,1190003
CFD,903
TGS,9940
ELLI,26231
EPGNF,11655
CWGL,127
SUTR,4687
CFI,4024
SPCHA,20
DIIBF,135
CFN,52722
CFP,9244
CFR,8036
THC,84123
BCBP,1100
CFT,4747
THD,83062
MTDR,28761
RRRI,25
THG,1779
CFX,3360
THI,4432
THM,241147
THO,17121
OIIM,1600
CGA,10500
ELMD,250990
THS,1191
THR,1034
FONE,2
CGG,1990
HDRX,49152
CGI,6052
CWHO,2100
CWHN,408
SUSS,4879
SUSQ,55145
CGO,12151
NWFL,30
FONR,60239
SDRL,173009
SUTI,2500000
TIF,48963
NFEC,826
CGW,4676
SETHF,600
MCBC,914
CFFN,22690
CGX,2996
HDSN,16483
MTCN,1337
TIK,855
BCCI,18918
CFFI,1795
MCBI,65
TIP,52898
NILSY,1002
ZIGO,615
CHA,1708
CHD,11923
TIS,1049
CHC,136
CHE,11544
GST.PR.B,1879
CHH,2762
ELNK,35787
CHI,46627
XTEX,6205
CHL,68923
PLMT,220
GST.PR.A,401
RRST,58
CHK,239224
CHN,1234
SPG.PR.J,272
CDPYF,2300
GASE,1000
CHT,2395
CHS,457660
CWID,40
CHU,13168
GASL,4900
CHW,42973
CHY,25940
HE.PR.U,64
PLND,4034
RRTS,1383
CIA,475
FORD,6738
FORC,200
ARDNA,630
BAMXF,226
